"ID" "Ordine_presentazione" "TAM_1" "TAM_2" "TAM_3" "TAM_4" "TAM_5" "TAM_6" "TAM_7" "TAM_8" "TAM_9" "TAM_10" "TAM_11" "TAM_12" "TAM_13" "TAM_14" "TAM_15" "TAM_16" "TAM_17" "TAM_18"
"121" "SOG_0121_Source1" 2 5 2 2 4 2 4 2 3 2 2 2 2 4 5 4 5 5 5
"122" "SOG_0122_Source1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"123" "SOG_0001_Source2" 1 5 4 5 1 3 4 1 3 3 2 3 3 3 5 3 1 3 3
"124" "SOG_0002_Source2" 2 5 4 4 2 4 4 2 2 4 3 2 4 4 5 4 2 4 5
"125" "SOG_0003_Source2" 2 5 4 4 2 4 4 1 1 3 4 2 2 2 3 5 1 3 2
"126" "SOG_0004_Source2" 2 5 4 4 1 5 3 1 1 3 5 1 2 2 5 5 1 5 2
"127" "SOG_0005_Source2" 1 4 3 2 1 2 4 2 4 3 1 1 1 4 4 4 2 5 2
"128" "SOG_0006_Source2" 1 4 3 4 1 4 4 1 1 2 5 1 1 5 5 5 1 4 2
"129" "SOG_0007_Source2" 2 5 4 4 1 3 4 2 2 4 3 4 4 4 5 4 2 3 2
"130" "SOG_0008_Source2" 1 5 4 5 1 4 5 1 1 5 4 1 4 5 5 4 1 5 2
"131" "SOG_0009_Source2" 1 4 3 3 2 2 3 2 1 2 1 1 2 4 5 4 1 4 2
"132" "SOG_0010_Source2" 2 4 4 4 1 4 5 1 1 3 4 1 4 4 5 4 2 4 3
"133" "SOG_0011_Source2" 2 4 4 4 2 4 4 1 2 4 2 2 4 4 5 3 2 5 2
"134" "SOG_0012_Source2" 2 4 4 5 2 4 4 1 1 3 4 1 1 3 5 4 1 5 2
"135" "SOG_0013_Source2" 1 4 4 4 1 4 4 1 1 4 4 4 4 4 5 4 1 4 2
"136" "SOG_0014_Source2" 1 3 3 4 1 3 2 1 1 3 3 3 3 4 5 4 3 4 3
"137" "SOG_0015_Source2" 1 4 4 4 1 4 3 1 1 3 4 4 4 4 5 4 2 4 2
"138" "SOG_0016_Source2" 2 3 4 3 1 4 4 1 1 3 4 3 2 4 5 4 2 3 3
"139" "SOG_0017_Source2" 1 5 4 3 2 3 5 2 3 4 3 2 2 4 5 4 1 5 2
"140" "SOG_0018_Source2" 1 5 4 4 1 3 5 2 4 4 3 1 3 3 5 4 2 5 2
"141" "SOG_0019_Source2" 1 5 3 4 1 3 5 2 2 4 2 1 4 4 5 4 1 4 3
"142" "SOG_0020_Source2" 1 4 4 3 1 4 4 1 4 3 4 3 3 5 5 4 1 4 NA
"143" "SOG_0021_Source2" 1 5 3 3 1 4 4 1 4 4 3 2 4 4 4 4 1 4 1
"144" "SOG_0022_Source2" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"145" "SOG_0023_Source2" 1 3 3 4 1 3 3 1 1 5 3 1 1 1 4 3 4 5 4
"146" "SOG_0024_Source2" 1 5 4 3 1 4 5 1 1 4 4 4 4 5 5 5 1 5 1
"147" "SOG_0025_Source2" 1 5 3 3 1 5 5 1 1 4 1 1 2 3 5 4 1 5 4
"148" "SOG_0026_Source2" 1 4 4 4 1 4 5 1 1 5 4 1 4 5 5 4 1 5 1
"149" "SOG_0027_Source2" 1 4 4 5 1 4 5 1 1 4 3 2 5 5 5 5 3 5 3
"150" "SOG_0028_Source2" 1 4 3 2 2 3 2 3 2 2 4 1 2 3 4 4 3 4 1
"151" "SOG_0029_Source2" 1 5 4 4 1 4 4 2 1 4 4 2 4 4 5 4 2 4 2
"152" "SOG_0030_Source2" 1 5 4 4 1 4 5 1 1 4 3 3 3 4 NA 3 2 4 2
"153" "SOG_0031_Source2" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"154" "SOG_0032_Source2" 1 4 4 4 2 4 4 2 2 2 2 4 4 4 4 4 2 4 2
"155" "SOG_0033_Source2" 1 4 3 4 1 3 4 1 3 5 4 3 3 4 5 4 2 4 3
"156" "SOG_0034_Source2" 1 3 4 4 1 4 3 1 2 3 3 1 3 4 5 5 1 5 3
"157" "SOG_0035_Source2" 1 4 4 3 1 3 3 1 2 4 4 4 4 3 5 4 2 4 2
"158" "SOG_0036_Source2" 1 5 4 4 1 5 5 1 1 4 3 3 4 4 5 3 2 5 2
"159" "SOG_0037_Source2" 1 5 5 4 2 4 5 2 2 4 5 1 4 4 5 5 2 5 2
"160" "SOG_0038_Source2" 1 5 3 4 1 3 5 2 3 2 4 2 4 4 5 2 2 4 2
"161" "SOG_0039_Source2" 1 5 4 4 1 3 4 2 2 4 4 1 1 4 5 5 2 4 1
"162" "SOG_0040_Source2" 1 5 3 4 1 4 5 1 2 5 5 3 4 4 5 5 2 5 3
